AsOfDate,Company,Account,AU,Currency,PrimaryAccount,SecondaryAccount,GLBalance,iHUbBalance,BalanceDifference,MatchStatus
2023-01-28,00001,6544806,5803,EUR,Principal,Deferred Costs,43807,105969,-62162,Break
2023-01-28,00006,9098410,4091,INR,Principal,Deferred Costs,31278,49765,-18487,Break
2023-01-18,00002,4605086,6077,USD,Principal,Deferred Costs,101158,54189,46969,Break
2023-01-07,00006,9249910,1679,ISO-4217,Principal,Principal,92654,84729,7925,Break
2023-01-12,00006,2073783,5529,EUR,Principal,Principal,118857,32977,85880,Break
2023-01-11,00006,3610375,2242,USD,Deferred Costs,Deferred Costs,93639,68363,25276,Break
2023-01-12,00003,7062660,4364,EUR,Deferred Costs,Principal,88486,87028,1458,Break
2023-01-03,00005,3156065,5830,INR,Principal,Deferred Costs,87929,34278,53651,Break
2023-01-28,00002,5968070,2930,ALL,Deferred Costs,Principal,95544,54871,40673,Break
2023-01-03,00005,2166023,4091,EUR,Deferred Costs,Principal,68709,104508,-35799,Break
2023-01-26,00004,9618127,2503,AFN,Principal,Principal,65371,114279,-48908,Break
2023-01-16,00006,3563270,3600,AFN,Principal,Deferred Costs,81123,103850,-22727,Break
2023-01-25,00004,7260962,5907,AFN,Principal,Principal,42790,35710,7080,Break
2023-01-30,00003,2560869,3518,ISO-4217,Deferred Costs,Deferred Costs,60385,83451,-23066,Break
2023-01-08,00006,9465108,5096,ALL,Deferred Costs,Deferred Costs,66942,80108,-13166,Break
2023-01-18,00006,4403042,2789,AFN,Principal,Deferred Costs,117104,54033,63071,Break
2023-01-21,00005,7641044,6685,ALL,Principal,Principal,41450,42183,-733,Break
2023-01-10,00003,3684716,4228,EUR,Principal,Principal,115848,105158,10690,Break
2023-01-27,00001,5052721,2062,AFN,Principal,Principal,94278,113064,-18786,Break
2023-01-15,00001,8725676,3627,INR,Deferred Costs,Principal,38278,66702,-28424,Break
2023-01-11,00003,6838923,4706,ISO-4217,Principal,Principal,84807,87555,-2748,Break
2023-01-22,00003,6173656,4929,INR,Principal,Deferred Costs,83449,53152,30297,Break
2023-01-14,00001,5181054,5779,INR,Principal,Principal,48366,37399,10967,Break
2023-01-20,00001,6877213,5422,ALL,Deferred Costs,Principal,63905,60175,3730,Break
2023-01-19,00001,5678520,3296,USD,Deferred Costs,Principal,30674,76415,-45741,Break
2023-01-26,00003,4585713,1541,INR,Deferred Costs,Principal,115713,63044,52669,Break
2023-01-14,00003,6600511,2140,EUR,Deferred Costs,Principal,49053,116983,-67930,Break
2023-01-19,00001,9016884,5231,USD,Principal,Principal,108288,95779,12509,Break
2023-01-23,00002,2580952,4706,EUR,Principal,Principal,40370,44727,-4357,Break
2023-01-04,00005,1253217,3928,EUR,Deferred Costs,Principal,51043,99975,-48932,Break
2023-01-06,00003,6265853,1226,AFN,Deferred Costs,Deferred Costs,63347,57969,5378,Break
2023-01-01,00005,2204763,5221,USD,Principal,Deferred Costs,36313,69227,-32914,Break
2023-01-28,00005,4492028,4577,AFN,Deferred Costs,Principal,108493,52499,55994,Break
2023-01-18,00003,3076425,4589,USD,Principal,Principal,70333,77108,-6775,Break
2023-01-29,00005,1370418,1156,USD,Principal,Principal,39228,110527,-71299,Break
2023-01-21,00001,3926334,2623,AFN,Principal,Principal,34955,107736,-72781,Break
2023-01-19,00006,1355541,5677,AFN,Deferred Costs,Deferred Costs,66042,117818,-51776,Break
2023-01-12,00001,5470272,2931,INR,Deferred Costs,Principal,118242,30321,87921,Break
2023-01-04,00005,5169374,2643,INR,Principal,Deferred Costs,78862,53159,25703,Break
2023-01-24,00003,1892666,1116,USD,Deferred Costs,Principal,110800,84342,26458,Break
2023-01-04,00005,9715788,6282,INR,Deferred Costs,Deferred Costs,93024,113838,-20814,Break
2023-01-19,00005,6003454,1610,ALL,Deferred Costs,Principal,97468,95342,2126,Break
2023-01-06,00001,9492358,6884,INR,Principal,Deferred Costs,104512,117151,-12639,Break
2023-01-30,00003,1681558,2137,AFN,Deferred Costs,Deferred Costs,97823,100102,-2279,Break
2023-01-19,00005,5230698,4873,ISO-4217,Deferred Costs,Deferred Costs,31640,59224,-27584,Break
2023-01-01,00001,3856855,1921,INR,Principal,Deferred Costs,95834,52007,43827,Break
2023-01-30,00004,9737609,5896,ALL,Principal,Principal,94758,116181,-21423,Break
2023-01-08,00003,5187802,2529,USD,Principal,Deferred Costs,52698,92196,-39498,Break
2023-01-23,00005,1718572,5249,ISO-4217,Principal,Principal,75613,71145,4468,Break
2023-01-12,00006,8514965,6726,ISO-4217,Deferred Costs,Deferred Costs,50150,98879,-48729,Break
2023-01-12,00001,3535672,5636,ISO-4217,Deferred Costs,Principal,47559,104683,-57124,Break
2023-01-20,00005,7620881,4360,ALL,Deferred Costs,Deferred Costs,109978,47645,62333,Break
2023-01-21,00006,3340666,6196,ALL,Deferred Costs,Deferred Costs,75598,74125,1473,Break
2023-01-06,00002,7682386,6515,EUR,Deferred Costs,Principal,108908,83672,25236,Break
2023-01-29,00006,5435158,6818,ALL,Principal,Principal,76657,96859,-20202,Break
2023-01-20,00006,2631681,4404,ALL,Principal,Deferred Costs,65892,106203,-40311,Break
2023-01-02,00001,2269493,1598,EUR,Principal,Principal,47892,78795,-30903,Break
2023-01-06,00005,1598685,1983,EUR,Deferred Costs,Deferred Costs,54975,76388,-21413,Break
2023-01-26,00006,6118552,5085,EUR,Deferred Costs,Deferred Costs,66675,109334,-42659,Break
2023-01-30,00005,5191432,6306,EUR,Principal,Deferred Costs,99967,77524,22443,Break
2023-01-21,00005,2570563,4729,ALL,Deferred Costs,Deferred Costs,35788,33660,2128,Break
2023-01-17,00004,6232080,6082,ISO-4217,Deferred Costs,Principal,64414,107914,-43500,Break
2023-01-16,00006,5489169,1100,USD,Principal,Deferred Costs,66592,43230,23362,Break
2023-01-16,00001,3991201,4648,ISO-4217,Principal,Principal,103405,89660,13745,Break
2023-01-26,00005,3406113,2674,AFN,Deferred Costs,Principal,75641,88993,-13352,Break
2023-01-13,00005,5379067,2639,EUR,Principal,Deferred Costs,70433,119831,-49398,Break
2023-01-24,00002,2585353,1745,ALL,Deferred Costs,Principal,117700,87413,30287,Break
2023-01-07,00005,5330447,4530,USD,Principal,Deferred Costs,42558,75736,-33178,Break
2023-01-02,00001,1302714,1082,EUR,Deferred Costs,Principal,74840,34698,40142,Break
2023-01-11,00004,6999347,5457,AFN,Principal,Principal,60540,49266,11274,Break
2023-01-24,00005,2257461,4237,ISO-4217,Principal,Principal,37898,67514,-29616,Break
2023-01-05,00003,5758349,4193,USD,Deferred Costs,Principal,72524,86770,-14246,Break
2023-01-11,00005,3575173,4839,ISO-4217,Principal,Deferred Costs,66780,58971,7809,Break
2023-01-03,00001,8945878,3361,EUR,Deferred Costs,Deferred Costs,33528,36887,-3359,Break
2023-01-01,00004,3617813,1019,ISO-4217,Deferred Costs,Principal,49027,113730,-64703,Break
2023-01-09,00004,1956329,3147,EUR,Principal,Principal,97752,104239,-6487,Break
2023-01-06,00002,8551925,2683,AFN,Deferred Costs,Deferred Costs,101574,66719,34855,Break
2023-01-30,00002,1981842,1836,USD,Principal,Principal,43682,71698,-28016,Break
2023-01-11,00006,9094262,6657,ISO-4217,Principal,Deferred Costs,102034,39839,62195,Break
2023-01-13,00001,9543137,1556,ALL,Principal,Deferred Costs,31880,50503,-18623,Break
2023-01-04,00005,9184035,4079,INR,Principal,Principal,37044,36683,361,Break
2023-01-22,00003,1155920,6628,ISO-4217,Deferred Costs,Principal,48677,112523,-63846,Break
2023-01-15,00001,6791634,4151,ALL,Principal,Deferred Costs,64000,108634,-44634,Break
2023-01-16,00001,4601593,4790,INR,Principal,Principal,31929,58056,-26127,Break
2023-01-16,00002,3347659,6796,ISO-4217,Principal,Principal,108046,85628,22418,Break
2023-01-09,00002,1133015,2285,INR,Principal,Deferred Costs,30080,48435,-18355,Break
2023-01-26,00001,8579827,2481,ALL,Deferred Costs,Deferred Costs,51741,90081,-38340,Break
2023-01-16,00004,5271272,2131,INR,Deferred Costs,Deferred Costs,53612,52765,847,Break
2023-01-21,00004,4648615,4463,INR,Deferred Costs,Deferred Costs,74778,38729,36049,Break
2023-01-08,00003,2286056,5083,AFN,Principal,Principal,60299,55937,4362,Break
2023-01-02,00001,8139090,1609,INR,Deferred Costs,Principal,61269,30353,30916,Break
2023-01-14,00002,9152340,6568,INR,Deferred Costs,Principal,93657,34364,59293,Break
2023-01-14,00006,4451607,3510,INR,Deferred Costs,Principal,74451,43474,30977,Break
2023-01-04,00004,8675261,4303,USD,Deferred Costs,Principal,106916,83008,23908,Break
2023-01-10,00004,5429661,3382,EUR,Principal,Principal,40200,40698,-498,Break
2023-01-03,00006,7316378,6287,INR,Deferred Costs,Principal,66168,69935,-3767,Break
2023-01-11,00001,5653571,2837,EUR,Deferred Costs,Deferred Costs,82252,55418,26834,Break
2023-01-11,00004,9056076,1856,AFN,Principal,Deferred Costs,59535,87445,-27910,Break
2023-01-03,00002,1469803,1542,AFN,Deferred Costs,Principal,95751,82855,12896,Break
2023-01-29,00003,5552752,6329,AFN,Deferred Costs,Principal,102511,31952,70559,Break
2023-01-25,00004,7670484,2257,INR,Deferred Costs,Deferred Costs,32304,110787,-78483,Break
2023-01-18,00002,4340159,5285,INR,Principal,Principal,39249,117181,-77932,Break
2023-01-18,00006,3537622,2466,ISO-4217,Principal,Principal,103231,99120,4111,Break
2023-01-08,00006,4241991,1449,USD,Deferred Costs,Principal,32735,72303,-39568,Break
2023-01-01,00003,7069372,5162,ALL,Principal,Principal,64332,119676,-55344,Break
2023-01-03,00002,1220206,3969,EUR,Deferred Costs,Deferred Costs,77462,81392,-3930,Break
2023-01-10,00004,4565007,1164,USD,Deferred Costs,Principal,84917,82360,2557,Break
2023-01-13,00005,1514471,3023,ALL,Deferred Costs,Deferred Costs,77762,68931,8831,Break
2023-01-16,00003,2946468,6014,INR,Deferred Costs,Principal,84279,53034,31245,Break
2023-01-18,00002,1186279,5102,EUR,Principal,Principal,109590,45570,64020,Break
2023-01-09,00006,3908646,5236,INR,Deferred Costs,Deferred Costs,100006,111570,-11564,Break
2023-01-13,00006,5833038,2267,AFN,Deferred Costs,Principal,39575,98346,-58771,Break
2023-01-26,00001,6127658,6883,ISO-4217,Deferred Costs,Principal,80279,45072,35207,Break
2023-01-14,00004,9607154,4445,USD,Deferred Costs,Deferred Costs,70415,81445,-11030,Break
2023-01-11,00002,9065482,4476,INR,Deferred Costs,Principal,86401,36947,49454,Break
2023-01-11,00004,3413425,1990,ISO-4217,Deferred Costs,Principal,69795,66831,2964,Break
2023-01-18,00005,2099854,6343,USD,Deferred Costs,Deferred Costs,93459,83639,9820,Break
2023-01-29,00003,7337071,3950,ALL,Principal,Principal,37868,91626,-53758,Break
2023-01-14,00001,3791618,1971,INR,Deferred Costs,Principal,103132,114956,-11824,Break
2023-01-30,00003,2012859,1588,USD,Principal,Principal,93319,105983,-12664,Break
2023-01-08,00006,6456178,6914,ISO-4217,Deferred Costs,Deferred Costs,50886,39132,11754,Break
2023-01-13,00006,3074958,2755,ISO-4217,Deferred Costs,Principal,63589,105736,-42147,Break
2023-01-09,00001,7650933,5842,ALL,Principal,Principal,76611,73549,3062,Break
2023-01-27,00006,5281849,4354,ISO-4217,Deferred Costs,Deferred Costs,75847,74575,1272,Break
2023-01-27,00002,1955432,2400,ALL,Deferred Costs,Principal,72516,47090,25426,Break
2023-01-23,00006,7456835,4197,ISO-4217,Deferred Costs,Principal,65238,31969,33269,Break
2023-01-29,00003,3328193,4881,ISO-4217,Principal,Deferred Costs,50950,95342,-44392,Break
2023-01-26,00005,9374564,3914,AFN,Deferred Costs,Principal,76770,44143,32627,Break
2023-01-08,00004,2985982,2024,ALL,Principal,Principal,102589,96567,6022,Break
2023-01-03,00006,4194973,1762,EUR,Deferred Costs,Principal,66155,30190,35965,Break
2023-01-01,00006,4621074,3570,INR,Principal,Deferred Costs,93774,68700,25074,Break
2023-01-03,00001,2896516,3406,EUR,Principal,Principal,90784,116265,-25481,Break
2023-01-25,00005,2534308,1556,ISO-4217,Deferred Costs,Deferred Costs,37913,81911,-43998,Break
2023-01-06,00005,9914640,5153,EUR,Principal,Deferred Costs,69543,68822,721,Break
2023-01-26,00001,4180975,4648,INR,Principal,Deferred Costs,91933,36429,55504,Break
2023-01-03,00003,3382226,1190,INR,Principal,Principal,59940,102989,-43049,Break
2023-01-09,00006,4864346,4859,ISO-4217,Deferred Costs,Deferred Costs,40343,95937,-55594,Break
2023-01-15,00001,7901810,5922,ISO-4217,Principal,Principal,56736,47264,9472,Break
2023-01-03,00001,3658882,1670,INR,Deferred Costs,Deferred Costs,34431,53254,-18823,Break
2023-01-18,00004,2111253,2806,ALL,Deferred Costs,Principal,94986,105601,-10615,Break
2023-01-04,00006,4047303,5483,USD,Principal,Principal,108694,114834,-6140,Break
2023-01-02,00006,1869343,1986,INR,Principal,Deferred Costs,41119,57877,-16758,Break
2023-01-03,00004,4839277,6674,USD,Principal,Principal,44432,104136,-59704,Break
2023-01-23,00005,1794137,1294,AFN,Deferred Costs,Deferred Costs,77872,87427,-9555,Break
2023-01-12,00003,7154849,4231,EUR,Deferred Costs,Principal,64592,55134,9458,Break
2023-01-18,00006,8870111,1341,USD,Deferred Costs,Deferred Costs,61994,90177,-28183,Break
2023-01-19,00006,4675042,5688,AFN,Principal,Principal,117307,119455,-2148,Break
2023-01-27,00006,2806739,2269,AFN,Principal,Principal,107399,58356,49043,Break
2023-01-07,00005,7601246,5973,INR,Principal,Principal,102388,33831,68557,Break
2023-01-19,00003,8128716,4513,INR,Deferred Costs,Principal,56191,66202,-10011,Break
2023-01-28,00003,8986480,2595,EUR,Deferred Costs,Deferred Costs,35579,80235,-44656,Break
2023-01-13,00001,1992958,1717,AFN,Principal,Deferred Costs,87083,60633,26450,Break
2023-01-17,00001,7868787,5680,USD,Principal,Deferred Costs,112878,107028,5850,Break
2023-01-07,00005,9361940,1781,AFN,Deferred Costs,Deferred Costs,51874,92037,-40163,Break
2023-01-25,00003,1971304,2548,USD,Principal,Principal,35660,95963,-60303,Break
2023-01-28,00003,3957301,5610,INR,Deferred Costs,Principal,86702,57070,29632,Break
2023-01-09,00006,1207232,1393,EUR,Principal,Principal,53507,34226,19281,Break
2023-01-03,00005,6389320,4063,ALL,Deferred Costs,Deferred Costs,62365,96514,-34149,Break
2023-01-12,00003,4821926,5092,ALL,Deferred Costs,Principal,102184,118919,-16735,Break
2023-01-12,00004,6910285,5805,INR,Deferred Costs,Principal,95204,56889,38315,Break
2023-01-19,00003,9128739,1126,EUR,Deferred Costs,Deferred Costs,85668,84454,1214,Break
2023-01-16,00005,5202481,6143,USD,Principal,Deferred Costs,98281,99623,-1342,Break
2023-01-11,00003,4151394,5694,USD,Deferred Costs,Deferred Costs,110855,82930,27925,Break
2023-01-19,00005,5904742,5702,AFN,Principal,Principal,58535,94237,-35702,Break
2023-01-09,00005,3190260,3695,AFN,Deferred Costs,Deferred Costs,46163,63027,-16864,Break
2023-01-16,00005,8795101,1131,EUR,Deferred Costs,Principal,99669,67481,32188,Break
2023-01-02,00005,6475735,2904,USD,Principal,Principal,116788,107850,8938,Break
2023-01-30,00002,8585559,5112,INR,Principal,Deferred Costs,58902,109939,-51037,Break
2023-01-02,00003,2048220,5628,INR,Deferred Costs,Deferred Costs,79892,98422,-18530,Break
2023-01-18,00004,5942086,2939,EUR,Deferred Costs,Deferred Costs,114510,32093,82417,Break
2023-01-07,00002,9341767,6904,INR,Deferred Costs,Principal,100467,80467,20000,Break
2023-01-16,00004,9125097,6299,INR,Deferred Costs,Principal,109300,36369,72931,Break
2023-01-14,00001,7432934,1437,AFN,Principal,Principal,92516,59136,33380,Break
2023-01-12,00003,7466199,1235,INR,Principal,Deferred Costs,84414,85855,-1441,Break
2023-01-28,00001,1246663,2053,INR,Deferred Costs,Deferred Costs,64610,109557,-44947,Break
2023-01-23,00002,8399745,4535,AFN,Principal,Principal,54196,69026,-14830,Break
2023-01-03,00005,5909234,3744,ALL,Principal,Principal,42456,86837,-44381,Break
2023-01-19,00001,9403949,6548,ISO-4217,Deferred Costs,Principal,85552,62076,23476,Break
2023-01-23,00004,2167387,1543,INR,Principal,Deferred Costs,68263,105579,-37316,Break
2023-01-18,00002,5344977,3809,AFN,Deferred Costs,Deferred Costs,84426,54939,29487,Break
2023-01-17,00004,1697469,3604,USD,Deferred Costs,Principal,102234,37091,65143,Break
2023-01-28,00003,8374232,1561,ISO-4217,Principal,Deferred Costs,67807,30325,37482,Break
2023-01-19,00006,4359672,4623,INR,Deferred Costs,Principal,71166,56541,14625,Break
2023-01-02,00006,8759282,6668,EUR,Deferred Costs,Principal,37651,74142,-36491,Break
2023-01-14,00003,7717991,5777,ALL,Principal,Deferred Costs,87023,110767,-23744,Break
2023-01-10,00001,3120006,3005,ALL,Deferred Costs,Principal,79208,38920,40288,Break
2023-01-22,00004,6830837,4531,INR,Deferred Costs,Principal,103816,70707,33109,Break
2023-01-04,00005,6022096,3761,EUR,Principal,Principal,51995,116751,-64756,Break
2023-01-18,00001,9326531,2998,ALL,Principal,Principal,110464,84728,25736,Break
2023-01-02,00001,7305811,3062,INR,Deferred Costs,Deferred Costs,38218,53493,-15275,Break
2023-01-27,00006,9015024,5985,AFN,Deferred Costs,Principal,62478,32384,30094,Break
2023-01-23,00002,5336710,3749,USD,Deferred Costs,Deferred Costs,90560,89405,1155,Break
2023-01-06,00005,7126129,2759,INR,Deferred Costs,Deferred Costs,46034,91873,-45839,Break
2023-01-18,00004,7126801,3869,ISO-4217,Deferred Costs,Principal,60225,70432,-10207,Break
2023-01-14,00001,3931786,2570,ALL,Deferred Costs,Principal,30356,80549,-50193,Break
2023-01-13,00002,5469958,6306,INR,Deferred Costs,Deferred Costs,93146,36600,56546,Break
2023-01-29,00005,4767978,6673,ISO-4217,Principal,Deferred Costs,70477,78378,-7901,Break
2023-01-22,00001,7557364,6001,AFN,Deferred Costs,Principal,30506,64399,-33893,Break
2023-01-27,00001,4148142,4240,AFN,Principal,Principal,31444,63388,-31944,Break
2023-01-04,00003,4674739,6733,AFN,Principal,Deferred Costs,113915,32601,81314,Break
2023-01-25,00004,8177078,4404,USD,Principal,Deferred Costs,113302,43246,70056,Break
2023-01-19,00005,7827079,1719,ISO-4217,Deferred Costs,Deferred Costs,66562,87353,-20791,Break
2023-01-01,00005,4788096,2948,USD,Principal,Principal,71347,31894,39453,Break
2023-01-16,00006,5226666,6742,ALL,Principal,Deferred Costs,119373,86546,32827,Break
2023-01-30,00006,1399099,6960,USD,Principal,Deferred Costs,94749,87468,7281,Break
2023-01-06,00005,3859248,5179,EUR,Principal,Deferred Costs,40272,119074,-78802,Break
2023-01-14,00006,6340593,4999,ALL,Deferred Costs,Principal,31592,58049,-26457,Break
2023-01-07,00006,8465484,2985,ALL,Principal,Principal,82152,109383,-27231,Break
2023-01-02,00001,3109264,2731,ISO-4217,Principal,Deferred Costs,35059,115563,-80504,Break
2023-01-25,00005,4962874,4745,ISO-4217,Deferred Costs,Deferred Costs,36281,82197,-45916,Break
2023-01-30,00003,1475084,4587,AFN,Deferred Costs,Principal,50519,79308,-28789,Break
2023-01-01,00001,4259764,6239,EUR,Deferred Costs,Principal,87838,40436,47402,Break
2023-01-27,00006,6891948,6207,ISO-4217,Deferred Costs,Deferred Costs,85159,100065,-14906,Break
2023-01-07,00004,8712361,5520,EUR,Deferred Costs,Deferred Costs,111104,117342,-6238,Break
2023-01-28,00002,4061822,4507,INR,Principal,Deferred Costs,57286,89759,-32473,Break
2023-01-23,00004,9758219,1561,EUR,Principal,Principal,35876,75450,-39574,Break
2023-01-03,00004,1456898,1567,INR,Principal,Principal,69375,66763,2612,Break
2023-01-24,00006,4790123,2972,USD,Principal,Deferred Costs,77645,37601,40044,Break
2023-01-24,00001,3723458,2140,ISO-4217,Deferred Costs,Principal,30825,38522,-7697,Break
2023-01-24,00004,3124355,3476,INR,Deferred Costs,Principal,92074,36216,55858,Break
2023-01-15,00005,2963903,6321,ALL,Deferred Costs,Principal,72345,39762,32583,Break
2023-01-19,00005,4233366,6812,ALL,Principal,Deferred Costs,59759,90057,-30298,Break
2023-01-08,00006,2835875,6333,INR,Deferred Costs,Deferred Costs,106183,97361,8822,Break
2023-01-29,00005,7689932,6243,ALL,Principal,Deferred Costs,51686,71300,-19614,Break
2023-01-27,00003,5518031,5255,USD,Deferred Costs,Principal,56470,58769,-2299,Break
2023-01-11,00002,8727614,6479,ALL,Deferred Costs,Deferred Costs,107778,60526,47252,Break
2023-01-27,00006,1288046,4342,AFN,Deferred Costs,Principal,99934,90763,9171,Break
2023-01-28,00003,4705560,4361,INR,Deferred Costs,Deferred Costs,60883,38390,22493,Break
2023-01-28,00001,9453096,5035,ISO-4217,Principal,Principal,84169,38971,45198,Break
2023-01-02,00003,2399467,3794,AFN,Principal,Deferred Costs,102989,97299,5690,Break
2023-01-20,00004,8006586,5445,USD,Deferred Costs,Principal,92765,88887,3878,Break
2023-01-08,00005,3256007,3650,ISO-4217,Principal,Principal,78946,63678,15268,Break
2023-01-30,00002,1176514,3127,EUR,Principal,Deferred Costs,72681,81921,-9240,Break
2023-01-01,00002,4686149,1680,USD,Principal,Deferred Costs,64447,64302,145,Break
2023-01-21,00002,7991271,5950,AFN,Deferred Costs,Deferred Costs,44619,115503,-70884,Break
2023-01-30,00003,9590613,4988,INR,Principal,Principal,77648,104023,-26375,Break
2023-01-18,00001,7297749,5562,ISO-4217,Deferred Costs,Deferred Costs,102777,67643,35134,Break
2023-01-06,00002,4085188,2067,ISO-4217,Deferred Costs,Deferred Costs,71766,84574,-12808,Break
2023-01-16,00001,7833769,2232,ISO-4217,Deferred Costs,Principal,50238,95277,-45039,Break
2023-01-03,00005,5019288,4525,INR,Deferred Costs,Deferred Costs,79422,79343,79,Break
2023-01-25,00006,8043554,3183,USD,Principal,Principal,103645,42835,60810,Break
2023-01-27,00003,9082066,2594,ISO-4217,Principal,Principal,61508,62681,-1173,Break
2023-01-21,00002,3222524,2075,AFN,Deferred Costs,Deferred Costs,60749,89086,-28337,Break
2023-01-24,00004,4454399,4800,AFN,Deferred Costs,Principal,91547,97012,-5465,Break
2023-01-01,00001,9265170,2966,EUR,Principal,Principal,111228,64323,46905,Break
2023-01-09,00003,9183108,6250,ISO-4217,Principal,Principal,39055,48661,-9606,Break
2023-01-11,00002,2046255,5919,EUR,Principal,Deferred Costs,78052,110507,-32455,Break
2023-01-25,00005,3703371,6121,AFN,Deferred Costs,Principal,91208,72417,18791,Break
2023-01-05,00006,9484627,5393,USD,Deferred Costs,Principal,61361,71026,-9665,Break
2023-01-29,00004,5024882,2956,ISO-4217,Deferred Costs,Principal,112135,78051,34084,Break
2023-01-18,00002,8803389,6121,USD,Deferred Costs,Principal,108932,84830,24102,Break
2023-01-13,00005,6869481,4560,ISO-4217,Deferred Costs,Principal,102055,30762,71293,Break
2023-01-16,00003,3163727,1008,USD,Principal,Principal,79397,30109,49288,Break
2023-01-23,00004,4533711,6827,USD,Deferred Costs,Deferred Costs,57183,41469,15714,Break
2023-01-02,00006,3785630,1602,INR,Principal,Principal,106442,87982,18460,Break
2023-01-28,00003,9141106,6760,ALL,Principal,Deferred Costs,81890,30449,51441,Break
2023-01-07,00004,4777992,2656,ISO-4217,Principal,Deferred Costs,70644,95811,-25167,Break
2023-01-19,00004,5619498,3346,EUR,Principal,Deferred Costs,39518,64973,-25455,Break
2023-01-05,00004,7171766,4700,AFN,Principal,Principal,116324,77835,38489,Break
2023-01-09,00003,4558159,4586,INR,Deferred Costs,Deferred Costs,57454,105951,-48497,Break
2023-01-05,00006,7130328,4998,ISO-4217,Deferred Costs,Deferred Costs,30714,49010,-18296,Break
2023-01-05,00005,3094821,3425,EUR,Deferred Costs,Principal,85399,110431,-25032,Break
2023-01-08,00006,9561161,5775,ISO-4217,Deferred Costs,Deferred Costs,63757,45279,18478,Break
2023-01-12,00003,9451979,4454,USD,Principal,Deferred Costs,115634,36273,79361,Break
2023-01-15,00002,8170586,6019,AFN,Principal,Deferred Costs,39600,47848,-8248,Break
2023-01-20,00002,1614863,1427,AFN,Deferred Costs,Principal,60816,65244,-4428,Break
2023-01-13,00005,1167484,2799,ISO-4217,Principal,Deferred Costs,112316,118786,-6470,Break
2023-01-26,00002,4234148,5143,AFN,Principal,Deferred Costs,42172,32336,9836,Break
2023-01-12,00003,4422786,3106,ISO-4217,Principal,Principal,86435,83193,3242,Break
2023-01-18,00005,4845120,6937,INR,Principal,Principal,102957,83853,19104,Break
2023-01-30,00003,2729029,4145,AFN,Principal,Principal,74933,33893,41040,Break
2023-01-01,00006,6847198,5766,ISO-4217,Deferred Costs,Deferred Costs,119290,113551,5739,Break
2023-01-23,00004,4091162,1248,AFN,Deferred Costs,Principal,34513,37570,-3057,Break
2023-01-30,00006,2832130,3302,INR,Deferred Costs,Deferred Costs,75401,46305,29096,Break
2023-01-12,00001,3039667,6823,ALL,Principal,Deferred Costs,30088,102105,-72017,Break
2023-01-26,00006,9867744,5701,ISO-4217,Deferred Costs,Principal,52122,71218,-19096,Break
2023-01-18,00002,6896849,1320,ALL,Principal,Deferred Costs,105623,61070,44553,Break
2023-01-08,00001,4609303,4691,ALL,Principal,Principal,81511,58052,23459,Break
2023-01-18,00005,9677996,2766,INR,Deferred Costs,Deferred Costs,115776,93558,22218,Break
2023-01-27,00001,8572305,1369,EUR,Deferred Costs,Deferred Costs,35583,103884,-68301,Break
2023-01-20,00003,9264831,5679,ISO-4217,Deferred Costs,Deferred Costs,93340,90142,3198,Break
2023-01-11,00006,2566998,5519,ALL,Deferred Costs,Deferred Costs,92640,48368,44272,Break
2023-01-14,00004,5762917,4557,ALL,Principal,Deferred Costs,85373,119896,-34523,Break
2023-01-02,00001,8296951,5556,ISO-4217,Principal,Deferred Costs,45342,99737,-54395,Break
2023-01-16,00001,3217115,2859,ALL,Deferred Costs,Principal,58443,61197,-2754,Break
2023-01-15,00006,3352073,1772,AFN,Principal,Principal,64217,101736,-37519,Break
2023-01-09,00003,4720726,1608,AFN,Deferred Costs,Principal,109918,73448,36470,Break
2023-01-01,00006,7985841,4875,ALL,Deferred Costs,Deferred Costs,31243,75073,-43830,Break
2023-01-26,00005,9059549,4319,USD,Deferred Costs,Deferred Costs,73184,68791,4393,Break
2023-01-28,00003,6781448,1794,EUR,Deferred Costs,Deferred Costs,38091,57988,-19897,Break
2023-01-27,00006,5854825,3099,ISO-4217,Deferred Costs,Deferred Costs,63799,34796,29003,Break
2023-01-16,00006,6346063,1198,EUR,Deferred Costs,Deferred Costs,115218,58570,56648,Break
2023-01-28,00003,9034163,4683,USD,Principal,Principal,83593,49712,33881,Break
2023-01-03,00005,6085304,6442,AFN,Deferred Costs,Deferred Costs,101759,113095,-11336,Break
2023-01-04,00003,6580152,3545,ISO-4217,Deferred Costs,Deferred Costs,56576,60014,-3438,Break
2023-01-09,00004,5710886,1467,INR,Principal,Deferred Costs,77728,97429,-19701,Break
2023-01-17,00002,7581862,5829,USD,Principal,Deferred Costs,42689,69547,-26858,Break
2023-01-16,00005,7974265,3468,INR,Principal,Deferred Costs,113839,103442,10397,Break
2023-01-23,00001,8291412,3995,USD,Principal,Deferred Costs,83966,82468,1498,Break
2023-01-10,00005,7301278,4708,ISO-4217,Deferred Costs,Principal,65230,108221,-42991,Break
2023-01-02,00001,1155426,3341,EUR,Principal,Deferred Costs,94380,102971,-8591,Break
2023-01-14,00003,1345918,1030,AFN,Deferred Costs,Principal,106851,99582,7269,Break
2023-01-07,00004,1192633,6624,INR,Deferred Costs,Deferred Costs,109732,110868,-1136,Break
2023-01-10,00006,4824012,5815,AFN,Deferred Costs,Deferred Costs,87912,117505,-29593,Break
